iwx_band,date,lon,lat,erc,bi,wui proximity
23,2020-01-01 22:00,-120.015002721462,37.489699136904,15,26,0
61,2020-01-03 12:00,-120.5038325695,37.650165008466,20,29,0
96,2020-01-04 23:00,-120.347474222159,37.662281292646,19,28,0
474,2020-01-20 17:00,-120.294900684993,37.739405749008,39,35,0
713,2020-01-30 16:00,-120.381406198616,37.4181751797262,36,35,0
814,2020-02-03 21:00,-120.128191901081,37.3617035803829,42,63,0
829,2020-02-04 12:00,-120.303468052176,37.7501116318071,44,51,0
883,2020-02-06 18:00,-120.148881435417,37.4645345421403,49,41,0
885,2020-02-06 20:00,-120.419146406069,37.3893877175548,51,35,0
952,2020-02-09 15:00,-119.985851614317,37.4731854722817,44,79,0
953,2020-02-09 16:00,-120.374806080888,37.3193443096271,47,70,0
960,2020-02-09 23:00,-120.195680608119,37.3734207052507,46,65,0
961,2020-02-10 00:00,-120.458985548739,37.4373814671939,52,54,1223.7646484375
967,2020-02-10 06:00,-120.145263691047,37.6890081814113,51,58,0
978,2020-02-10 17:00,-120.099443040359,37.5981708085997,49,58,474.341644287109
993,2020-02-11 08:00,-120.194791964524,37.5982069384909,49,36,0
1006,2020-02-11 21:00,-120.437598054906,37.716906119858,51,46,0
1067,2020-02-14 10:00,-120.172519721075,37.7664601833093,55,52,0
1068,2020-02-14 11:00,-120.221839443102,37.3691951526542,41,42,0
1069,2020-02-14 12:00,-120.222667600206,37.6901879895885,45,47,0
1085,2020-02-15 04:00,-120.317617285578,37.6769522357229,43,46,0
1118,2020-02-16 13:00,-120.217086099079,37.4133191741317,39,47,0
1138,2020-02-17 09:00,-120.438193179905,37.3123928328305,40,46,0
1180,2020-02-19 03:00,-120.489889918672,37.5049299783174,43,38,0
1194,2020-02-19 17:00,-120.493856845966,37.7172687028642,52,47,0
1202,2020-02-20 01:00,-120.412064673633,37.5347665562024,44,36,465.725250244141
1267,2020-02-22 18:00,-120.320566344727,37.4181915681656,38,39,1440
1270,2020-02-22 21:00,-120.406948038599,37.6797309101993,52,50,702.922485351562
1273,2020-02-23 00:00,-119.969725002027,37.4897042672843,43,48,30
1294,2020-02-23 21:00,-120.359237009271,37.4290874164982,45,43,94.8683319091797
1317,2020-02-24 20:00,-120.010298772875,37.5182949502028,46,56,0
1391,2020-02-27 22:00,-120.421904737952,37.4123474237778,38,30,180
1407,2020-02-28 14:00,-120.136314669772,37.4117720427189,33,31,0
1408,2020-02-28 15:00,-120.224493341288,37.5130566295423,37,33,0
1412,2020-02-28 19:00,-119.990344042227,37.4739384670912,36,35,0
1422,2020-02-29 05:00,-120.150971693788,37.7636292064844,53,55,0
1425,2020-02-29 08:00,-120.285399593563,37.3340777065948,39,46,0
1425,2020-02-29 08:00,-120.48189818835,37.6787560235637,40,45,323.109893798828
1433,2020-02-29 16:00,-120.362725527349,37.651693866196,42,48,0
1435,2020-02-29 18:00,-120.192185540607,37.4266890645579,37,47,0
1438,2020-02-29 21:00,-120.363987581612,37.4189810043285,39,45,0
1475,2020-03-02 10:00,-120.142471422061,37.4345833921511,46,48,0
1482,2020-03-02 17:00,-120.241704714306,37.5137010539309,48,53,150
1485,2020-03-02 20:00,-120.338408665371,37.715598781112,51,69,0
1486,2020-03-02 21:00,-120.243423895608,37.6206861830835,47,55,0
1489,2020-03-03 00:00,-120.470970085278,37.5066099226822,46,35,0
1517,2020-03-04 04:00,-120.126380776299,37.5672771200401,50,42,0
1535,2020-03-04 22:00,-120.288512502676,37.3190526892705,42,33,0
1544,2020-03-05 07:00,-120.180297028361,37.7408235089807,60,46,0
1549,2020-03-05 12:00,-120.09889717535,37.6392067984987,55,45,0
1564,2020-03-06 03:00,-120.116805383434,37.4776798505302,47,45,0
1568,2020-03-06 07:00,-120.168171588889,37.4246591970241,48,44,0
1578,2020-03-06 17:00,-120.006565313392,37.3998903295975,53,57,0
1605,2020-03-07 20:00,-120.238809199095,37.5018421567273,43,39,0
1638,2020-03-09 05:00,-120.433479514261,37.3130870361271,47,37,0
1639,2020-03-09 06:00,-120.173106128595,37.5799288585891,49,42,0
1647,2020-03-09 14:00,-120.297880148149,37.6953623021029,50,45,0
1664,2020-03-10 07:00,-120.167425522685,37.6405454902428,37,17,0
1675,2020-03-10 18:00,-120.071882907057,37.4947963878942,31,18,0
1700,2020-03-11 19:00,-120.471415823341,37.7002844257553,48,45,0
1749,2020-03-13 20:00,-120.02588874247,37.4734012756345,31,18,0
1751,2020-03-13 22:00,-120.032877302174,37.5319867259558,37,19,0
1769,2020-03-14 16:00,-120.47731323525,37.4360985972813,30,14,713.091857910156
1784,2020-03-15 07:00,-120.329624002712,37.3659745291933,18,13,1741.0341796875
1837,2020-03-17 12:00,-120.246270431232,37.3406935796073,28,29,0
1896,2020-03-19 23:00,-120.055108679593,37.4398460951395,16,17,0
2067,2020-03-27 02:00,-120.167678850875,37.5434151650858,35,35,0
2182,2020-03-31 21:00,-120.33790245969,37.3590200325668,47,44,1513.43981933594
2240,2020-04-03 07:00,-120.389637996397,37.5861359033722,56,63,657.951416015625
2255,2020-04-03 22:00,-120.191159163238,37.5394760939302,47,54,0
2286,2020-04-05 05:00,-120.232977389264,37.5395457124206,16,16,0
2463,2020-04-12 14:00,-120.280827738113,37.5862338776223,43,45,150
2517,2020-04-14 20:00,-120.405988932067,37.6494842773906,49,58,0
2634,2020-04-19 17:00,-120.423266184392,37.4469425570825,52,46,684.7626953125
2636,2020-04-19 19:00,-120.214166842824,37.6700618885372,45,44,0
2708,2020-04-22 19:00,-120.315172903326,37.424276067871,57,60,2040.88208007812
2807,2020-04-26 22:00,-120.43875573416,37.700339134507,58,61,466.690460205078
2961,2020-05-03 08:00,-120.341455408992,37.7130402725272,63,74,0
2979,2020-05-04 02:00,-120.436971630556,37.5540109812889,72,76,0
2986,2020-05-04 09:00,-120.286940012218,37.3376361757644,71,74,0
2997,2020-05-04 20:00,-120.138184238148,37.3939683301925,63,65,0
3001,2020-05-05 00:00,-119.943428314256,37.3916156242322,59,55,0
3020,2020-05-05 19:00,-119.943890634906,37.4434902459824,59,57,0
3028,2020-05-06 03:00,-120.477339324942,37.5202475103956,73,94,547.448608398438
3043,2020-05-06 18:00,-120.356956138009,37.4148879484883,73,94,0
3074,2020-05-08 01:00,-120.457039608274,37.5819974978216,78,71,0
3081,2020-05-08 08:00,-120.435584532453,37.6572583668608,81,77,192.093734741211
3122,2020-05-10 01:00,-120.106414943293,37.6863557627223,71,64,882.326477050781
3147,2020-05-11 02:00,-120.078053347362,37.4194402335709,74,79,0
3164,2020-05-11 19:00,-120.443308938652,37.6506923111297,83,66,0
3168,2020-05-11 23:00,-120.170332298392,37.5567056805911,70,63,84.8528137207031
3178,2020-05-12 09:00,-120.325199497106,37.6889635864491,63,52,0
3184,2020-05-12 15:00,-120.477323172351,37.5244031283328,71,58,212.132034301758
3198,2020-05-13 05:00,-120.390515617701,37.3166692890961,73,70,0
3218,2020-05-14 01:00,-120.371009598993,37.3544417805904,73,81,123.693168640137
3234,2020-05-14 17:00,-120.398615198467,37.464183323197,78,83,0
3239,2020-05-14 22:00,-120.442466295293,37.3472209001976,72,82,0
3241,2020-05-15 00:00,-120.176066666249,37.3909680228266,76,88,0
3241,2020-05-15 00:00,-120.293065099692,37.538086921734,81,92,0
3241,2020-05-15 00:00,-119.970740337158,37.5185256419153,62,72,0
3242,2020-05-15 01:00,-120.376949616235,37.6000801951748,80,90,2485.83984375
3269,2020-05-16 04:00,-120.123272542884,37.4033574975917,70,67,0
3271,2020-05-16 06:00,-120.348277130022,37.3942517159258,81,75,241.867736816406
3273,2020-05-16 08:00,-120.007240039405,37.4180012334462,65,66,0
3281,2020-05-16 16:00,-120.371883334342,37.4140405906604,81,75,0
3379,2020-05-20 18:00,-120.143314045428,37.3497798444998,59,59,0
3398,2020-05-21 13:00,-120.183173132722,37.5048646299405,51,53,0
3448,2020-05-23 15:00,-120.281070512919,37.7214710180142,54,65,0
3451,2020-05-23 18:00,-120.397154995484,37.3006348947909,77,89,0
3458,2020-05-24 01:00,-120.4476439331,37.6298743543075,79,84,0
3466,2020-05-24 09:00,-120.326805758813,37.3956072510768,84,84,1644.53637695312
3471,2020-05-24 14:00,-120.12663141716,37.538188574278,57,61,0
3482,2020-05-25 01:00,-120.54563735007,37.6310392583169,83,63,0
3484,2020-05-25 03:00,-120.503032020296,37.4955786328622,85,63,0
3496,2020-05-25 15:00,-120.366238971462,37.6357557713485,75,58,174.928558349609
3501,2020-05-25 20:00,-120.450186781857,37.448050096421,85,63,60
3511,2020-05-26 06:00,-120.129446025585,37.4571401211123,69,61,0
3514,2020-05-26 09:00,-120.367954602039,37.332652068242,86,71,0
3515,2020-05-26 10:00,-120.335829397169,37.7100375938467,77,67,0
3535,2020-05-27 06:00,-120.483674766847,37.6188759580083,87,88,0
3548,2020-05-27 19:00,-120.307493918806,37.3610990464451,89,91,780
3555,2020-05-28 02:00,-120.058606736555,37.66310279967,67,70,818.840637207031
